,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,yellowknife,75,CA,1580779542,75,-13.0,62.46,-114.35,9.17
1,ambon,40,ID,1580779826,74,86.0,-3.7,128.18,4.7
2,albany,20,US,1580779510,80,36.0,42.6,-73.97,4.09
3,port hueneme,1,US,1580779821,15,57.99,34.15,-119.2,11.41
4,pachino,33,IT,1580780060,93,53.01,36.72,15.09,6.93
5,dikson,100,RU,1580779812,90,-6.66,73.51,80.55,15.43
6,araguari,100,BR,1580779830,78,73.4,-18.65,-48.19,5.82
7,bluff,100,NZ,1580780060,98,50.0,-46.6,168.33,8.99
8,hermanus,1,ZA,1580780060,88,75.0,-34.42,19.23,4.0
9,ushuaia,75,AR,1580779790,71,53.6,-54.8,-68.3,5.17
10,mahajanga,20,MG,1580780061,88,80.6,-15.72,46.32,3.36
11,ribeira grande,63,PT,1580779834,82,56.21,38.52,-28.7,14.18
12,port alfred,7,ZA,1580779783,95,66.99,-33.59,26.89,2.62
13,chokurdakh,100,RU,1580780061,97,-17.14,70.63,147.92,7.72
14,saint-philippe,62,RE,1580779821,78,78.8,-21.36,55.77,18.34
15,punta arenas,75,CL,1580779774,66,50.0,-53.15,-70.92,19.46
16,kirakira,100,SB,1580780062,73,85.6,-10.45,161.92,11.63
17,butaritari,90,KI,1580779778,71,82.8,3.07,172.79,13.13
18,hay river,75,CA,1580779811,70,-2.2,60.82,-115.8,8.05
19,manokwari,100,ID,1580779884,68,82.08,-0.87,134.08,4.92
20,ancud,90,CL,1580779833,81,51.8,-41.87,-73.82,10.29
21,kruisfontein,14,ZA,1580779748,95,69.39,-34.0,24.73,2.28
22,ponta do sol,20,PT,1580779850,45,72.0,32.67,-17.1,3.36
23,auki,100,SB,1580779891,75,85.44,-8.77,160.7,11.88
24,kobrinskoye,90,RU,1580780064,68,28.4,59.42,30.12,26.84
25,saint-pierre,0,RE,1580780064,78,78.8,-21.34,55.48,18.34
26,aksay,40,RU,1580780064,86,37.4,47.26,39.87,8.95
27,campina grande do sul,75,BR,1580780064,93,64.0,-25.31,-49.06,6.93
28,rikitea,34,PF,1580779796,76,79.2,-23.12,-134.97,14.43
29,abu samrah,19,SY,1580780064,82,42.42,35.3,37.18,4.32
30,rassvet,99,RU,1580780065,81,40.1,46.83,40.75,15.55
31,dire dawa,80,ET,1580780065,80,55.96,9.59,41.87,0.63
32,jamestown,1,US,1580779575,96,45.0,42.1,-79.24,4.7
33,hithadhoo,0,MV,1580779807,74,82.53,-0.6,73.08,14.2
34,quatre cocos,40,MU,1580780066,78,78.8,-20.21,57.76,11.41
35,sobolevo,100,RU,1580780066,79,30.38,54.43,31.9,12.48
36,kanturk,20,IE,1580780066,75,42.8,52.17,-8.9,18.34
37,tuktoyaktuk,20,CA,1580779791,65,-34.6,69.45,-133.04,11.41
38,cape town,40,ZA,1580779591,93,72.0,-33.93,18.42,11.41
39,zapolyarnyy,7,RU,1580780067,85,12.2,69.42,30.81,14.99
40,veraval,0,IN,1580780067,33,62.51,20.9,70.37,10.18
41,camana,59,PE,1580780067,82,65.71,-16.62,-72.71,3.36
42,busselton,53,AU,1580779789,25,82.0,-33.65,115.33,18.1
43,puerto colombia,26,CO,1580780067,78,80.6,10.99,-74.95,12.75
44,kavaratti,77,IN,1580779795,72,81.09,10.57,72.64,12.19
45,qaanaaq,80,GL,1580779799,60,-22.34,77.48,-69.36,4.88
46,udachnyy,0,RU,1580780068,66,-29.2,66.42,112.4,2.24
47,karratha,0,AU,1580780068,67,86.67,-20.74,116.85,4.74
48,alice springs,90,AU,1580779772,50,75.2,-23.7,133.88,13.87
49,altay,59,CN,1580780068,44,13.26,47.87,88.12,3.47
50,hovd,0,MN,1580779887,57,0.18,48.01,91.64,1.63
51,longyearbyen,40,SJ,1580779820,64,-4.0,78.22,15.64,6.93
52,kloulklubed,90,PW,1580779828,83,80.6,7.04,134.26,11.41
53,kapaa,40,US,1580779783,69,82.4,22.08,-159.32,9.17
54,victoria,40,HK,1580779670,87,61.0,22.29,114.16,13.87
55,nalut,0,LY,1580780070,55,51.48,30.33,10.85,7.14
56,mataura,100,NZ,1580779789,98,51.01,-46.19,168.86,8.99
57,la ronge,20,CA,1580780070,69,-7.6,55.1,-105.28,5.82
58,tevriz,100,RU,1580780070,96,3.9,57.51,72.4,6.51
59,isabela,75,PH,1580780070,58,84.2,6.71,121.97,9.17
60,port elizabeth,90,ZA,1580780070,100,71.6,-33.92,25.57,8.05
61,provideniya,90,RU,1580779801,77,5.0,64.38,-173.3,38.03
62,castro,10,BR,1580779796,93,63.55,-24.79,-50.01,7.76
63,paoua,0,CF,1580780071,26,65.19,7.24,16.44,4.27
64,nikolskoye,90,RU,1580780071,68,28.4,59.7,30.79,26.84
65,nabire,73,ID,1580780071,55,89.56,-3.37,135.48,5.26
66,mar del plata,0,AR,1580779862,65,80.6,-38.0,-57.56,12.75
67,tuatapere,100,NZ,1580779893,98,50.0,-46.13,167.68,8.99
68,vaini,40,TO,1580779810,78,82.4,-21.2,-175.2,10.29
69,fairbanks,1,US,1580779844,91,12.0,64.84,-147.72,3.18
70,pisco,40,PE,1580779820,78,73.4,-13.7,-76.22,9.17
71,new norfolk,75,AU,1580779781,33,64.0,-42.78,147.06,16.11
72,bredasdorp,34,ZA,1580779785,88,75.0,-34.53,20.04,5.82
73,palauig,0,PH,1580780073,47,78.76,15.44,119.9,7.23
74,kaitangata,100,NZ,1580779780,95,51.62,-46.28,169.85,20.38
75,darab,0,IR,1580780073,36,40.96,28.75,54.54,0.36
76,pemba,100,MZ,1580780073,87,78.21,-12.97,40.52,5.32
77,hilo,20,US,1580780016,54,80.6,19.73,-155.09,8.05
78,chuy,44,UY,1580779803,81,72.27,-33.7,-53.46,14.83
79,port augusta,0,AU,1580779881,40,72.0,-32.5,137.77,9.17
80,matara,0,LK,1580779875,67,81.0,5.95,80.54,4.56
81,bambous virieux,40,MU,1580779793,78,78.8,-20.34,57.76,11.41
82,kimbe,80,PG,1580780074,81,83.62,-5.55,150.14,7.0
83,laem sing,20,TH,1580780074,94,87.01,12.48,102.07,1.12
84,haines junction,93,CA,1580779832,91,4.71,60.75,-137.51,2.89
85,tshane,0,BW,1580780075,28,70.11,-24.02,21.87,7.87
